request_id,throughput,number_of_forwardings
1,485,3
2,480,4
3,506,2
4,520,4
5,504,4
6,516,1
7,511,2
8,494,2
9,512,2
10,495,4
11,495,3
12,497,2
13,498,5
14,506,4
15,493,1
16,508,3
17,-8508,5
18,503,5
19,519,1
20,512,3
21,510,4
22,500,0
23,503,3
24,505,1
25,500,5
26,496,4
27,480,3
28,507,0
29,510,0
30,488,2
31,506,2
32,494,1
33,496,3
34,513,3
35,490,5
36,490,5
37,518,5
38,498,2
39,512,3
40,484,3
41,484,0
42,490,2
43,495,4
44,485,2
45,503,4
46,504,0
47,491,1
48,491,3
49,493,0
50,488,3
51,480,5
52,499,1
53,495,1
54,496,0
55,489,1
56,508,4
57,520,1
58,491,3
59,513,3
60,503,3
61,500,3
62,496,4
63,499,2
64,511,5
65,488,0
66,497,3
67,512,1
68,509,3
69,488,1
70,498,5
71,507,5
72,506,5
73,509,1
74,503,3
75,505,5
76,503,4
77,515,1
78,495,1
79,500,3
80,489,1
81,487,1
82,503,5
83,492,3
84,499,5
85,516,5
86,515,3
87,520,0
88,516,5
89,520,4
90,504,4
91,490,1
92,489,4
93,513,1
94,500,0
95,501,3
96,494,3
97,495,3
98,503,4
99,489,0
100,502,4
101,515,4
102,480,0
103,484,0
104,506,0
105,513,0
106,495,3
107,480,2
108,514,2
109,491,0
110,496,2
111,503,2
112,493,0
113,491,2
114,491,4
115,518,1
116,511,1
117,505,0
118,480,3
119,505,0
120,505,3
121,487,1
122,502,0
123,510,5
124,505,4
125,493,2
126,500,3
127,507,5
128,500,2
129,512,2
130,503,0
131,507,2
132,508,4
133,489,5
134,500,2
135,496,0
136,510,4
137,504,1
138,498,5
139,487,2
140,484,0
141,503,1
142,492,1
143,506,3
144,483,4
145,515,2
146,506,0
147,500,3
148,516,4
149,509,3
150,495,5
151,500,4
152,480,4
153,510,2
154,497,4
155,480,3
156,488,4
157,508,2
158,516,2
159,500,5
160,490,3
161,485,1
162,514,1
163,504,4
164,496,5
165,494,0
166,506,4
167,506,5
168,491,3
169,488,3
170,489,3
171,495,3
172,493,3
173,516,5
174,494,5
175,487,2
176,488,1
177,498,3
178,481,0
179,499,5
180,486,0
181,511,0
182,501,0
183,520,2
184,497,5
185,480,0
186,514,3
187,505,4
188,506,0
189,489,2
190,499,5
191,501,2
192,497,0
193,482,5
194,520,4
195,508,0
196,504,2
197,513,1
198,506,3
199,493,2
200,512,5
201,508,0
202,493,3
203,507,0
204,497,5
205,502,0
206,505,1
207,513,3
208,493,3
209,503,5
210,520,1
211,498,2
212,501,0
213,520,4
214,506,0
215,485,0
216,492,2
217,506,0
218,504,1
219,501,1
220,520,3
221,493,5
222,499,4
223,480,0
224,511,0
225,492,2
226,510,5
227,509,1
228,520,4
229,506,3
230,496,1
231,504,5
232,492,3
233,503,2
234,497,2
235,499,0
236,491,5
237,503,4
238,508,3
239,483,1
240,493,5
241,501,5
242,480,2
243,517,0
244,492,0
245,490,3
246,497,2
247,501,5
248,492,4
249,509,2
250,503,3
251,491,3
252,494,2
253,484,3
254,487,2
255,503,1
256,491,2
257,518,2
258,500,3
259,486,3
260,488,0
261,510,0
262,499,1
263,509,0
264,496,2
265,494,3
266,511,0
267,491,0
268,504,1
269,497,5
270,508,1
271,518,2
272,496,3
273,494,1
274,506,0
275,489,3
276,516,3
277,514,0
278,490,1
279,484,0
280,488,5
281,488,3
282,508,4
283,515,4
284,507,2
285,497,0
286,503,0
287,491,2
288,510,2
289,504,2
290,507,3
291,492,5
292,498,0
293,507,3
294,514,2
295,493,0
296,507,3
297,492,5
298,520,3
299,495,5
300,506,2
301,501,5
302,520,0
303,502,2
304,494,0
305,506,4
306,506,1
307,498,5
308,489,1
309,494,1
310,508,5
311,482,2
312,497,4
313,509,0
314,499,3
315,520,0
316,482,3
317,490,0
318,480,5
319,519,4
320,490,3
321,480,2
322,493,0
323,486,0
324,493,3
325,500,2
326,508,2
327,498,5
328,500,5
329,494,5
330,484,5
331,481,5
332,496,5
333,500,4
334,495,2
335,481,5
336,502,2
337,516,2
338,498,1
339,494,4
340,499,5
341,488,0
342,488,3
343,504,0
344,509,4
345,498,3
346,480,4
347,503,2
348,520,3
349,497,2
350,498,0
351,491,0
352,504,3
353,493,3
354,510,5
355,493,4
356,503,5
357,499,4
358,515,5
359,504,2
360,513,3
361,501,0
362,498,4
363,499,4
364,492,0
365,505,5
366,493,4
367,501,2
368,508,3
369,515,0
370,501,3
371,508,4
372,507,4
373,496,0
374,520,2
375,494,1
376,500,0
377,514,1
378,514,5
379,500,1
380,509,2
381,497,5
382,495,1
383,487,5
384,507,1
385,508,2
386,494,1
387,502,1
388,520,1
389,511,0
390,490,0
391,510,0
392,491,2
393,480,5
394,499,4
395,515,1
396,513,1
397,503,2
398,494,1
399,504,0
400,497,4
401,494,3
402,510,1
403,494,0
404,511,3
405,494,4
406,520,3
407,483,0
